tipo,n,expostos,idade_media,imp_media,tam_texto
other,32920,3515,117.3,0.404,3178
team,15308,3327,119.3,0.452,653
distilled,14456,2822,109.8,0.735,205
daily,3231,798,52.5,0.481,971
graph_node,1046,282,122.9,0.5,156
lesson,53,53,6.4,0.9,3739
project,43,36,72.9,0.605,2360
shared,40,13,83.1,0.5,190
digest,25,15,79.3,0.404,2398
feedback,17,12,125.4,1.0,116
test,14,14,121.9,0.5,12
person,14,8,51.8,0.629,2204
decision,11,4,8.4,0.95,6508
pending,6,0,6.4,0.75,791
procedure,3,0,32.6,0.5,2163
